{'dt': '20180126 23:30:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '开仓', 'price': 5580.0, 'volume': 1}
{'dt': '20180129 15:00:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '平仓', 'price': 5600.0, 'volume': 1}
{'dt': '20180130 21:15:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '开仓', 'price': 5628.0, 'volume': 1}
{'dt': '20180131 21:45:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '平仓', 'price': 5628.0, 'volume': 1}
{'dt': '20180227 23:30:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '开仓', 'price': 5607.0, 'volume': 1}
{'dt': '20180228 21:45:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '平仓', 'price': 5633.0, 'volume': 1}
{'dt': '20180305 11:30:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '开仓', 'price': 5645.0, 'volume': 1}
{'dt': '20180308 14:15:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '平仓', 'price': 5643.0, 'volume': 1}
{'dt': '20180327 11:30:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '开仓', 'price': 5565.0, 'volume': 1}
{'dt': '20180330 11:15:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '平仓', 'price': 5512.0, 'volume': 1}
{'dt': '20180427 11:00:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '开仓', 'price': 5437.0, 'volume': 1}
{'dt': '20180502 14:30:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '平仓', 'price': 5459.0, 'volume': 1}
{'dt': '20180521 15:00:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '开仓', 'price': 5604.0, 'volume': 1}
{'dt': '20180522 23:30:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '平仓', 'price': 5543.0, 'volume': 1}
{'dt': '20180531 14:45:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '开仓', 'price': 5520.0, 'volume': 1}
{'dt': '20180531 23:30:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '平仓', 'price': 5577.0, 'volume': 1}
{'dt': '20180607 15:00:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '开仓', 'price': 5436.0, 'volume': 1}
{'dt': '20180612 09:45:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '平仓', 'price': 5386.0, 'volume': 1}
{'dt': '20180612 21:15:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '开仓', 'price': 5358.0, 'volume': 1}
{'dt': '20180614 09:30:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '平仓', 'price': 5358.0, 'volume': 1}
